stage,BOD,COD,TOC,NH4,NO3,PO4,SS,Phenol,Formaldehyde,Glutaraldehyde,Detergent,Oils,Pb,CBZ,DCF,pH
IN,133.29083793140126,389.52256274365914,75.76024911632354,15.735866719095885,3.938919695771462,3.8489714226608553,232.06445523654065,0.22093754560681814,0.08873440591731713,0.3110712522917885,0.40104002751058,3.1120141986650998,0.04376840634749606,0.0017508400599997255,0.0013067736582791218,6.824896463123619
EQ,135.1811762274472,394.2309135388489,76.8208732825725,15.952561173720131,3.989743957404786,3.89754044540434,235.54186154736104,0.2251695703679376,0.0902319178321624,0.317223632662006,0.40737238908036155,3.1558939873104612,0.04435338216396357,0.0017846652923936847,0.0013324724049881419,6.833698963783485
MBR,36.51283016033658,207.86571699009332,42.836508527381,9.91230789236545,7.596720679573661,2.7939463950709715,27.779523109566735,0.1394559739110028,0.04741270382076884,0.21132206401412232,0.28164906466559747,1.4053055848615765,0.03965856872241965,0.0016547006492416533,0.0010509627232904754,6.857231163874406
AOP,30.82020661772939,157.83373394298783,33.21997602528404,9.91230789236545,7.596720679573661,2.7939463950709715,27.779523109566735,0.07926317303907839,0.031036326729710233,0.14229478771324133,0.23773805826434125,1.2201953025301775,0.03965856872241965,0.0009142943967905002,0.0006501698429060653,6.866706536907663
OUT,30.82020661772939,79.7200395323911,0.43465361116001827,9.91230789236545,7.596720679573661,2.7939463950709715,27.779523109566735,1.3092656273759132e-09,0.031036326729710233,0.14229478771324133,0.002978890618943273,1.2201953025301775,0.03965856872241965,5.730775229568669e-11,7.419026794214746e-12,6.882407653876424
