species,stage,influent_24h_avg,stage_24h_avg,removal_percent
BOD,EQ,184.07164623592826,151.9725034033687,17.43839612941661
BOD,MBR,184.07164623592826,42.283676128744226,77.02868584412595
BOD,AOP,184.07164623592826,35.7407468405596,80.58324159563935
BOD,OUT,184.07164623592826,35.7407468405596,80.58324159563935
COD,EQ,532.1629302211637,437.52364182432785,17.783893432318624
COD,MBR,532.1629302211637,221.12869213932504,58.447182323010495
COD,AOP,532.1629302211637,168.5559557471287,68.32625006836199
COD,OUT,532.1629302211637,86.10111901417572,83.8205342528476
TOC,EQ,103.9430310236312,86.84299134999063,16.451357541952888
TOC,MBR,103.9430310236312,46.77434798824874,55.00001536648022
TOC,AOP,103.9430310236312,36.3467795021327,65.03201884321679
TOC,OUT,103.9430310236312,0.0015565292373548624,99.9985025169826
NH4,EQ,21.635025104915975,17.3640534544577,19.741006214445356
NH4,MBR,21.635025104915975,10.28071984996958,52.48112817010984
NH4,AOP,21.635025104915975,10.28071984996958,52.48112817010984
NH4,OUT,21.635025104915975,10.28071984996958,52.48112817010984
NO3,EQ,5.3959045787478805,4.380566832105494,18.816821754805677
NO3,MBR,5.3959045787478805,6.642670391087714,-23.105779469309027
NO3,AOP,5.3959045787478805,6.642670391087714,-23.105779469309027
NO3,OUT,5.3959045787478805,6.642670391087714,-23.105779469309027
PO4,EQ,5.277760475194448,4.372491771942465,17.15251587310109
PO4,MBR,5.277760475194448,2.9055400383962726,44.94748194708052
PO4,AOP,5.277760475194448,2.9055400383962726,44.94748194708052
PO4,OUT,5.277760475194448,2.9055400383962726,44.94748194708052
SS,EQ,315.7949302114902,259.5493431710394,17.81079481003153
SS,MBR,315.7949302114902,31.493609052243173,90.02719612023168
SS,AOP,315.7949302114902,31.493609052243173,90.02719612023168
SS,OUT,315.7949302114902,31.493609052243173,90.02719612023168
Phenol,EQ,0.316879622815467,0.2649494579532121,16.38797862761157
Phenol,MBR,0.316879622815467,0.1556806929746357,50.87071500798414
Phenol,AOP,0.316879622815467,0.08887872038031822,71.9518978245956
Phenol,OUT,0.316879622815467,2.097785682468254e-16,99.99999999999993
Formaldehyde,EQ,0.1265878408640236,0.10576138783270311,16.452174939686007
Formaldehyde,MBR,0.1265878408640236,0.05394483400587865,57.38545373893818
Formaldehyde,AOP,0.1265878408640236,0.03543119780023135,72.01058367186282
Formaldehyde,OUT,0.1265878408640236,0.03543119780023135,72.01058367186282
Glutaraldehyde,EQ,0.44067441062165535,0.3649110459026019,17.192594553465163
Glutaraldehyde,MBR,0.44067441062165535,0.22640934759047307,48.622079673044894
Glutaraldehyde,AOP,0.44067441062165535,0.15292443814881684,65.29763597276099
Glutaraldehyde,OUT,0.44067441062165535,0.15292443814881684,65.29763597276099
Detergent,EQ,0.5700210675277824,0.4790065029945003,15.966877317011807
Detergent,MBR,0.5700210675277824,0.3102601680714514,45.570403315605596
Detergent,AOP,0.5700210675277824,0.26223531520413634,53.9955047027529
Detergent,OUT,0.5700210675277824,2.614107132970162e-06,99.99954140166358
Oils,EQ,4.277460502705735,3.547944657985407,17.05488207918854
Oils,MBR,4.277460502705735,1.5394622963702667,64.00990037438173
Oils,AOP,4.277460502705735,1.3381921978253868,68.71526465343386
Oils,OUT,4.277460502705735,1.3381921978253868,68.71526465343386
Pb,EQ,0.06230340863878343,0.05085031097887098,18.382778583294037
Pb,MBR,0.06230340863878343,0.039742876823228766,36.210750436390875
Pb,AOP,0.06230340863878343,0.039742876823228766,36.210750436390875
Pb,OUT,0.06230340863878343,0.039742876823228766,36.210750436390875
CBZ,EQ,0.002490698168839588,0.0020714518728506322,16.832480998060152
CBZ,MBR,0.002490698168839588,0.0016816306938257906,32.48356164290836
CBZ,AOP,0.002490698168839588,0.0009333954352744428,62.524747199324025
CBZ,OUT,0.002490698168839588,1.555270105059876e-16,99.99999999999375
DCF,EQ,0.0018649692265028817,0.0015194568302783387,18.526439541977567
DCF,MBR,0.0018649692265028817,0.0010680413197135881,42.73142395403821
DCF,AOP,0.0018649692265028817,0.0006631774048800234,64.44030306475415
DCF,OUT,0.0018649692265028817,2.701800429817772e-19,99.99999999999999
