xD,Sw,PVI,case
0.0,0.9999996003752791,0.2,waterflood
0.001669449081803005,0.9897215648238027,0.2,waterflood
0.00333889816360601,0.9801746878107358,0.2,waterflood
0.005008347245409015,0.9712589847008961,0.2,waterflood
0.00667779632721202,0.962894023839041,0.2,waterflood
0.008347245409015025,0.9550133712079938,0.2,waterflood
0.01001669449081803,0.9475624829279992,0.2,waterflood
0.011686143572621035,0.9404959626518037,0.2,waterflood
0.01335559265442404,0.9337745212320825,0.2,waterflood
0.015025041736227046,0.9273654083202868,0.2,waterflood
0.01669449081803005,0.921240112220901,0.2,waterflood
0.018363939899833055,0.9153736755416275,0.2,waterflood
0.02003338898163606,0.9097446211421435,0.2,waterflood
0.021702838063439065,0.9043340751137745,0.2,waterflood
0.02337228714524207,0.8991251983819695,0.2,waterflood
0.025041736227045076,0.8941029003141925,0.2,waterflood
0.02671118530884808,0.8892541917755552,0.2,waterflood
0.028380634390651086,0.8845669296877174,0.2,waterflood
0.03005008347245409,0.8800304388531233,0.2,waterflood
0.03171953255425709,0.8756350021614293,0.2,waterflood
0.0333889816360601,0.8713719899101716,0.2,waterflood
0.035058430717863104,0.8672332486873068,0.2,waterflood
0.03672787979966611,0.8632116749249366,0.2,waterflood
0.038397328881469114,0.8593004631111302,0.2,waterflood
0.04006677796327212,0.8554935070729854,0.2,waterflood
0.041736227045075125,0.8517851753498675,0.2,waterflood
0.04340567612687813,0.8481704146050646,0.2,waterflood
0.045075125208681135,0.8446443995955301,0.2,waterflood
0.04674457429048414,0.8412028202917297,0.2,waterflood
0.048414023372287146,0.8378412983008561,0.2,waterflood
0.05008347245409015,0.8345563255935543,0.2,waterflood
0.05175292153589316,0.8313441623392578,0.2,waterflood
0.05342237061769616,0.8282016004986195,0.2,waterflood
0.05509181969949917,0.8251255030312231,0.2,waterflood
0.05676126878130217,0.8221131181453736,0.2,waterflood
0.05843071786310518,0.8191614693477313,0.2,waterflood
0.06010016694490818,0.8162684180819346,0.2,waterflood
0.06176961602671119,0.8134313221139912,0.2,waterflood
0.06343906510851419,0.8106478933658947,0.2,waterflood
0.0651085141903172,0.8079162473708548,0.2,waterflood
0.0667779632721202,0.8052340309438082,0.2,waterflood
0.06844741235392321,0.8025998117366511,0.2,waterflood
0.07011686143572621,0.8000114512098123,0.2,waterflood
0.07178631051752922,0.7974676864148038,0.2,waterflood
0.07345575959933222,0.7949665111875726,0.2,waterflood
0.07512520868113523,0.7925066930600994,0.2,waterflood
0.07679465776293823,0.7900864821634337,0.2,waterflood
0.07846410684474124,0.7877050058964177,0.2,waterflood
0.08013355592654424,0.7853604942443285,0.2,waterflood
0.08180300500834725,0.7830520081887568,0.2,waterflood
0.08347245409015025,0.7807782759365739,0.2,waterflood
0.08514190317195326,0.7785383714312406,0.2,waterflood
0.08681135225375626,0.776330846115619,0.2,waterflood
0.08848080133555927,0.7741551364909024,0.2,waterflood
0.09015025041736227,0.7720098823390755,0.2,waterflood
0.09181969949916528,0.7698945835690785,0.2,waterflood
0.09348914858096828,0.7678079105692917,0.2,waterflood
0.0951585976627713,0.7657492494791597,0.2,waterflood
0.09682804674457429,0.7637178607838142,0.2,waterflood
0.0984974958263773,0.7617126921304463,0.2,waterflood
0.1001669449081803,0.7597333674732372,0.2,waterflood
0.10183639398998331,0.7577788584072862,0.2,waterflood
0.10350584307178631,0.755848708268635,0.2,waterflood
0.10517529215358933,0.7539420491840685,0.2,waterflood
0.10684474123539232,0.7520583241692614,0.2,waterflood
0.10851419031719532,0.750197116068784,0.2,waterflood
0.11018363939899833,0.7483575252789074,0.2,waterflood
0.11185308848080133,0.746539315121315,0.2,waterflood
0.11352253756260434,0.7447417466071693,0.2,waterflood
0.11519198664440734,0.7429642175402287,0.2,waterflood
0.11686143572621036,0.7412064921912452,0.2,waterflood
0.11853088480801335,0.7394677337879028,0.2,waterflood
0.12020033388981637,0.7377477687778473,0.2,waterflood
0.12186978297161936,0.7360461277057918,0.2,waterflood
0.12353923205342238,0.7343620707220759,0.2,waterflood
0.12520868113522537,0.7326956174728175,0.2,waterflood
0.12687813021702837,0.7310460230450133,0.2,waterflood
0.1285475792988314,0.7294130330920684,0.2,waterflood
0.1302170283806344,0.7277962714841225,0.2,waterflood
0.1318864774624374,0.7261953044101007,0.2,waterflood
0.1335559265442404,0.7246098279181036,0.2,waterflood
0.13522537562604342,0.7230395251453303,0.2,waterflood
0.13689482470784642,0.7214839771882481,0.2,waterflood
0.13856427378964942,0.7199427925355953,0.2,waterflood
0.14023372287145242,0.7184159499387787,0.2,waterflood
0.14190317195325544,0.7169029625045251,0.2,waterflood
0.14357262103505844,0.7154034255096355,0.2,waterflood
0.14524207011686144,0.7139171941434764,0.2,waterflood
0.14691151919866444,0.7124440240659587,0.2,waterflood
0.14858096828046746,0.7109834834173909,0.2,waterflood
0.15025041736227046,0.7095353668926786,0.2,waterflood
0.15191986644407346,0.7080995855671927,0.2,waterflood
0.15358931552587646,0.7066756788768003,0.2,waterflood
0.15525876460767948,0.7052634911835131,0.2,waterflood
0.15692821368948248,0.7038629232202767,0.2,waterflood
0.15859766277128548,0.7024735356041694,0.2,waterflood
0.16026711185308848,0.7010950553575278,0.2,waterflood
0.16193656093489148,0.6997275160092166,0.2,waterflood
0.1636060100166945,0.6983706716354806,0.2,waterflood
0.1652754590984975,0.6970240731251762,0.2,waterflood
0.1669449081803005,0.695687692030238,0.2,waterflood
0.1686143572621035,0.6943614698663152,0.2,waterflood
0.17028380634390652,0.6930449574958936,0.2,waterflood
0.17195325542570952,0.6917381400223593,0.2,waterflood
0.17362270450751252,0.6904406382451024,0.2,waterflood
0.17529215358931552,0.6891527010100452,0.2,waterflood
0.17696160267111855,0.6878736642300408,0.2,waterflood
0.17863105175292154,0.6866036468391338,0.2,waterflood
0.18030050083472454,0.6853423973093667,0.2,waterflood
0.18196994991652754,0.6840898396160202,0.2,waterflood
0.18363939899833057,0.6828457375750794,0.2,waterflood
0.18530884808013356,0.6816098071882112,0.2,waterflood
0.18697829716193656,0.6803822528704941,0.2,waterflood
0.18864774624373956,0.6791627233168473,0.2,waterflood
0.1903171953255426,0.677950967132796,0.2,waterflood
0.19198664440734559,0.6767469253131521,0.2,waterflood
0.19365609348914858,0.6755506938206122,0.2,waterflood
0.19532554257095158,0.6743618959973414,0.2,waterflood
0.1969949916527546,0.6731803734962922,0.2,waterflood
0.1986644407345576,0.6720060108089976,0.2,waterflood
0.2003338898163606,0.6708389238714196,0.2,waterflood
0.2020033388981636,0.6696788403272513,0.2,waterflood
0.20367278797996663,0.6685255625579511,0.2,waterflood
0.20534223706176963,0.6673789815986613,0.2,waterflood
0.20701168614357263,0.6662391212369108,0.2,waterflood
0.20868113522537562,0.6651058041148639,0.2,waterflood
0.21035058430717865,0.6639788627970219,0.2,waterflood
0.21202003338898165,0.662858194244851,0.2,waterflood
0.21368948247078465,0.6617437817706591,0.2,waterflood
0.21535893155258765,0.660635538422762,0.2,waterflood
0.21702838063439064,0.6595332643029023,0.2,waterflood
0.21869782971619367,0.6584368620808576,0.2,waterflood
0.22036727879799667,0.6573462654834888,0.2,waterflood
0.22203672787979967,0.6562614907479147,0.2,waterflood
0.22370617696160267,0.6551823063825253,0.2,waterflood
0.2253756260434057,0.6541086153836576,0.2,waterflood
0.2270450751252087,0.6530403272692251,0.2,waterflood
0.2287145242070117,0.6519774731228744,0.2,waterflood
0.2303839732888147,0.6509198895837008,0.2,waterflood
0.2320534223706177,0.6498674830224429,0.2,waterflood
