PVI,time_s,water_cut,oil_cut,Sw_prod,RF,cum_oil_m3,water_rate_m3_s,oil_rate_m3_s,case
0.0001,200.0,0.0,1.0,0.2,0.005009769539078156,0.0801563126252505,0.0,1e-05,waterflood
0.004107815631262526,8215.63126252505,0.0,1.0,0.2,0.010019539078156312,0.160312625250501,0.0,1e-05,waterflood
0.00811563126252505,16231.262525050099,0.0,1.0,0.2,0.015029308617234468,0.2404689378757515,0.0,1e-05,waterflood
0.012123446893787575,24246.89378757515,0.0,1.0,0.2,0.020039078156312624,0.320625250501002,0.0,1e-05,waterflood
0.0161312625250501,32262.5250501002,0.0,1.0,0.2,0.025048847695390782,0.4007815631262525,0.0,1e-05,waterflood
0.020139078156312627,40278.15631262525,0.0,1.0,0.2,0.030058617234468937,0.480937875751503,0.0,1e-05,waterflood
0.02414689378757515,48293.7875751503,0.0,1.0,0.2,0.035068386773547094,0.5610941883767535,0.0,1e-05,waterflood
0.028154709418837676,56309.418837675345,0.0,1.0,0.2,0.04007815631262525,0.641250501002004,0.0,1e-05,waterflood
0.032162525050100206,64325.05010020042,0.0,1.0,0.2,0.04508792585170341,0.7214068136272546,0.0,1e-05,waterflood
0.03617034068136273,72340.68136272546,0.0,1.0,0.2,0.050097695390781564,0.801563126252505,0.0,1e-05,waterflood
0.04017815631262526,80356.3126252505,0.0,1.0,0.2,0.055107464929859726,0.8817194388777556,0.0,1e-05,waterflood
0.044185971943887785,88371.94388777556,0.0,1.0,0.2,0.06011723446893787,0.961875751503006,0.0,1e-05,waterflood
0.048193787575150304,96387.57515030062,0.0,1.0,0.2,0.06512700400801603,1.0420320641282566,0.0,1e-05,waterflood
0.05220160320641283,104403.20641282565,0.0,1.0,0.2,0.07013677354709419,1.122188376753507,0.0,1e-05,waterflood
0.05620941883767536,112418.83767535072,0.0,1.0,0.2,0.07514654308617234,1.2023446893787575,0.0,1e-05,waterflood
0.06021723446893788,120434.46893787576,0.0,1.0,0.2,0.0801563126252505,1.282501002004008,0.0,1e-05,waterflood
0.06422505010020041,128450.1002004008,0.0,1.0,0.2,0.08516608216432867,1.3626573146292587,0.0,1e-05,waterflood
0.06823286573146294,136465.73146292588,0.0,1.0,0.2,0.09017585170340682,1.4428136272545091,0.0,1e-05,waterflood
0.07224068136272546,144481.36272545092,0.0,1.0,0.2,0.09518562124248497,1.5229699398797596,0.0,1e-05,waterflood
0.07624849699398799,152496.99398797596,0.0,1.0,0.2,0.10019539078156313,1.60312625250501,0.0,1e-05,waterflood
0.08025631262525051,160512.62525050103,0.0,1.0,0.2,0.1052051603206413,1.6832825651302608,0.0,1e-05,waterflood
0.08426412825651304,168528.25651302605,0.0,1.0,0.2,0.11021492985971945,1.7634388777555112,0.0,1e-05,waterflood
0.08827194388777557,176543.88777555112,0.0,1.0,0.2,0.1152246993987976,1.8435951903807617,0.0,1e-05,waterflood
0.0922797595190381,184559.5190380762,0.0,1.0,0.2,0.12023446893787575,1.923751503006012,0.0,1e-05,waterflood
0.0962875751503006,192575.15030060124,0.0,1.0,0.2,0.12524423847695387,2.003907815631262,0.0,1e-05,waterflood
0.10029539078156313,200590.78156312625,0.0,1.0,0.2,0.13025400801603204,2.0840641282565127,0.0,1e-05,waterflood
0.10430320641282566,208606.41282565132,0.0,1.0,0.2,0.1352637775551102,2.1642204408817634,0.0,1e-05,waterflood
0.10831102204408818,216622.04408817634,0.0,1.0,0.2,0.14027354709418835,2.2443767535070136,0.0,1e-05,waterflood
