PVI,normalized_breakthrough,domain
0.0001,0.0,Polymer front
0.004107815631262526,0.0,Polymer front
0.00811563126252505,0.0,Polymer front
0.012123446893787575,0.0,Polymer front
0.0161312625250501,0.0,Polymer front
0.020139078156312627,0.0,Polymer front
0.02414689378757515,0.0,Polymer front
0.028154709418837676,0.0,Polymer front
0.032162525050100206,0.0,Polymer front
0.03617034068136273,0.0,Polymer front
0.04017815631262526,0.0,Polymer front
0.044185971943887785,0.0,Polymer front
0.048193787575150304,0.0,Polymer front
0.05220160320641283,0.0,Polymer front
0.05620941883767536,0.0,Polymer front
0.06021723446893788,0.0,Polymer front
0.06422505010020041,0.0,Polymer front
0.06823286573146294,0.0,Polymer front
0.07224068136272546,0.0,Polymer front
0.07624849699398799,0.0,Polymer front
0.08025631262525051,0.0,Polymer front
0.08426412825651304,0.0,Polymer front
0.08827194388777557,0.0,Polymer front
0.0922797595190381,0.0,Polymer front
0.0962875751503006,0.0,Polymer front
0.10029539078156313,0.0,Polymer front
0.10430320641282566,0.0,Polymer front
0.10831102204408818,0.0,Polymer front
0.11231883767535071,0.0,Polymer front
0.11632665330661324,0.0,Polymer front
0.12033446893787576,0.0,Polymer front
0.12434228456913829,0.0,Polymer front
0.1283501002004008,0.0,Polymer front
0.13235791583166331,0.0,Polymer front
0.13636573146292585,0.0,Polymer front
0.14037354709418837,0.0,Polymer front
0.1443813627254509,0.0,Polymer front
0.14838917835671342,0.0,Polymer front
0.15239699398797596,0.0,Polymer front
0.15640480961923847,0.0,Polymer front
0.160412625250501,0.0,Polymer front
0.16442044088176352,0.0,Polymer front
0.16842825651302606,0.0,Polymer front
0.17243607214428858,0.0,Polymer front
0.17644388777555112,0.0,Polymer front
0.18045170340681363,0.0,Polymer front
0.18445951903807617,0.0,Polymer front
0.18846733466933868,0.0,Polymer front
0.1924751503006012,0.0,Polymer front
0.19648296593186373,0.0,Polymer front
0.20049078156312625,0.0,Polymer front
0.2044985971943888,0.0,Polymer front
0.2085064128256513,0.0,Polymer front
0.21251422845691384,0.0,Polymer front
0.21652204408817635,0.0,Polymer front
0.2205298597194389,0.0,Polymer front
0.2245376753507014,0.0,Polymer front
0.22854549098196394,0.0,Polymer front
0.23255330661322646,0.0,Polymer front
0.236561122244489,0.0,Polymer front
0.2405689378757515,0.0,Polymer front
0.24457675350701405,0.0,Polymer front
0.24858456913827656,0.0,Polymer front
0.2525923847695391,0.0,Polymer front
0.2566002004008016,0.0,Polymer front
0.2606080160320641,0.0,Polymer front
0.26461583166332664,0.0,Polymer front
0.2686236472945892,0.0,Polymer front
0.2726314629258517,0.0,Polymer front
0.27663927855711423,0.0,Polymer front
0.28064709418837674,0.0,Polymer front
0.2846549098196393,0.0,Polymer front
0.2886627254509018,0.0,Polymer front
0.29267054108216434,0.0,Polymer front
0.29667835671342685,0.0,Polymer front
0.3006861723446894,0.0,Polymer front
0.30469398797595193,0.0,Polymer front
0.30870180360721444,0.0,Polymer front
0.31270961923847695,0.0,Polymer front
0.3167174348697395,0.0,Polymer front
0.32072525050100203,0.0,Polymer front
0.32473306613226455,0.0,Polymer front
0.32874088176352706,0.0,Polymer front
0.33274869739478957,0.0,Polymer front
0.33675651302605214,0.0,Polymer front
0.34076432865731465,0.0,Polymer front
0.34477214428857716,0.0,Polymer front
0.3487799599198397,0.0,Polymer front
0.35278777555110225,0.0,Polymer front
0.35679559118236476,0.0,Polymer front
0.36080340681362727,0.0,Polymer front
0.3648112224448898,0.0,Polymer front
0.36881903807615235,0.0,Polymer front
0.37282685370741486,0.0,Polymer front
0.3768346693386774,0.0,Polymer front
0.3808424849699399,0.0,Polymer front
0.3848503006012024,0.0,Polymer front
0.38885811623246497,0.0,Polymer front
0.3928659318637275,0.0,Polymer front
0.39687374749499,0.0,Polymer front
0.4008815631262525,0.0,Polymer front
0.4048893787575151,0.0,Polymer front
0.4088971943887776,0.0,Polymer front
0.4129050100200401,0.0,Polymer front
0.4169128256513026,0.0,Polymer front
0.4209206412825652,0.0,Polymer front
0.4249284569138277,0.0,Polymer front
0.4289362725450902,0.0,Polymer front
0.4329440881763527,0.0,Polymer front
0.4369519038076153,0.0,Polymer front
0.4409597194388778,0.0,Polymer front
0.4449675350701403,0.0,Polymer front
0.4489753507014028,0.0,Polymer front
0.45298316633266533,0.0,Polymer front
0.4569909819639279,0.0,Polymer front
0.4609987975951904,0.0,Polymer front
0.4650066132264529,0.0,Polymer front
0.46901442885771544,0.0,Polymer front
0.473022244488978,0.0,Polymer front
0.4770300601202405,0.0,Polymer front
0.48103787575150303,0.0,Polymer front
0.48504569138276554,0.0,Polymer front
0.4890535070140281,0.0,Polymer front
0.4930613226452906,0.0,Polymer front
0.49706913827655314,0.0,Polymer front
0.5010769539078157,0.0,Polymer front
0.5050847695390782,0.0,Polymer front
0.5090925851703407,0.0,Polymer front
0.5131004008016032,0.0,Polymer front
0.5171082164328658,0.0,Polymer front
0.5211160320641283,0.0,Polymer front
0.5251238476953908,0.0,Polymer front
0.5291316633266533,0.0,Polymer front
0.5331394789579159,0.0,Polymer front
0.5371472945891784,0.0,Polymer front
0.5411551102204409,0.0,Polymer front
0.5451629258517035,0.0,Polymer front
0.549170741482966,0.0,Polymer front
0.5531785571142285,0.0,Polymer front
0.557186372745491,0.0,Polymer front
0.5611941883767535,0.0,Polymer front
0.5652020040080161,0.0,Polymer front
0.5692098196392786,0.0,Polymer front
0.5732176352705411,0.0,Polymer front
0.5772254509018037,0.0,Polymer front
0.5812332665330662,0.0,Polymer front
0.5852410821643287,0.0,Polymer front
0.5892488977955912,0.0,Polymer front
0.5932567134268537,0.0,Polymer front
0.5972645290581162,0.0,Polymer front
0.6012723446893788,0.0,Polymer front
0.6052801603206414,0.0,Polymer front
0.6092879759519039,0.0,Polymer front
0.6132957915831664,0.0,Polymer front
0.6173036072144289,0.0,Polymer front
0.6213114228456914,0.0,Polymer front
0.6253192384769539,0.0,Polymer front
0.6293270541082164,0.0,Polymer front
0.6333348697394791,0.0,Polymer front
0.6373426853707416,0.0,Polymer front
0.6413505010020041,0.0,Polymer front
0.6453583166332666,0.0,Polymer front
0.6493661322645291,0.0,Polymer front
0.6533739478957916,0.0,Polymer front
0.6573817635270541,0.0,Polymer front
0.6613895791583166,0.0,Polymer front
0.6653973947895792,0.0,Polymer front
0.6694052104208418,0.0,Polymer front
0.6734130260521043,0.0,Polymer front
0.6774208416833668,0.0,Polymer front
0.6814286573146293,0.0,Polymer front
0.6854364729458918,0.0,Polymer front
0.6894442885771543,0.0,Polymer front
0.6934521042084169,0.0,Polymer front
0.6974599198396794,0.0,Polymer front
0.701467735470942,0.0,Polymer front
0.7054755511022045,0.0,Polymer front
0.709483366733467,0.0,Polymer front
0.7134911823647295,0.0,Polymer front
0.717498997995992,0.0,Polymer front
0.7215068136272546,0.0,Polymer front
0.7255146292585171,0.0,Polymer front
0.7295224448897796,0.0,Polymer front
0.7335302605210421,0.0,Polymer front
0.7375380761523047,0.0,Polymer front
0.7415458917835672,0.0,Polymer front
0.7455537074148297,0.0,Polymer front
0.7495615230460922,0.0,Polymer front
0.7535693386773548,0.0,Polymer front
0.7575771543086173,0.0,Polymer front
0.7615849699398798,0.0,Polymer front
0.7655927855711423,0.0,Polymer front
0.7696006012024048,0.0,Polymer front
0.7736084168336674,0.0,Polymer front
0.77761623246493,0.0,Polymer front
0.7816240480961925,0.0,Polymer front
0.785631863727455,0.0,Polymer front
0.7896396793587175,0.0,Polymer front
0.79364749498998,0.0,Polymer front
0.7976553106212425,0.0,Polymer front
0.801663126252505,0.0,Polymer front
0.8056709418837676,0.0,Polymer front
0.8096787575150302,0.0,Polymer front
0.8136865731462927,0.0,Polymer front
0.8176943887775552,0.0,Polymer front
0.8217022044088177,0.0,Polymer front
0.8257100200400802,0.0,Polymer front
0.8297178356713427,0.0,Polymer front
0.8337256513026052,0.0,Polymer front
0.8377334669338677,0.0,Polymer front
0.8417412825651304,0.0,Polymer front
0.8457490981963929,0.0,Polymer front
0.8497569138276554,0.0,Polymer front
0.8537647294589179,0.0,Polymer front
0.8577725450901804,0.0,Polymer front
0.8617803607214429,0.0,Polymer front
0.8657881763527054,0.0,Polymer front
0.869795991983968,0.0,Polymer front
0.8738038076152306,0.0,Polymer front
0.8778116232464931,0.0,Polymer front
0.8818194388777556,0.0,Polymer front
0.8858272545090181,0.0,Polymer front
0.8898350701402806,0.0,Polymer front
0.8938428857715431,0.0,Polymer front
0.8978507014028057,0.0,Polymer front
0.9018585170340682,0.0,Polymer front
0.9058663326653307,0.0,Polymer front
0.9098741482965933,0.0,Polymer front
0.9138819639278558,0.0,Polymer front
0.9178897795591183,0.0,Polymer front
0.9218975951903808,0.0,Polymer front
0.9259054108216433,0.0,Polymer front
0.9299132264529059,0.0,Polymer front
0.9339210420841684,0.0,Polymer front
0.9379288577154309,0.0,Polymer front
0.9419366733466935,0.0,Polymer front
0.945944488977956,0.0,Polymer front
0.9499523046092185,0.0,Polymer front
0.953960120240481,0.0,Polymer front
0.9579679358717436,0.0,Polymer front
0.9619757515030061,0.0,Polymer front
0.9659835671342686,0.0,Polymer front
0.9699913827655311,0.0,Polymer front
0.9739991983967936,0.0,Polymer front
0.9780070140280562,0.0,Polymer front
0.9820148296593187,0.0,Polymer front
0.9860226452905813,0.0,Polymer front
0.9900304609218438,0.0,Polymer front
0.9940382765531063,0.0,Polymer front
0.9980460921843688,0.0,Polymer front
1.0020539078156314,0.0,Polymer front
1.0060617234468938,0.0,Polymer front
1.0100695390781564,0.0,Polymer front
1.0140773547094188,0.0,Polymer front
1.0180851703406815,0.0,Polymer front
1.0220929859719439,0.0,Polymer front
1.0261008016032065,0.0,Polymer front
1.0301086172344691,0.0,Polymer front
1.0341164328657315,0.0,Polymer front
1.0381242484969941,0.0,Polymer front
1.0421320641282565,0.0,Polymer front
1.0461398797595192,0.0,Polymer front
1.0501476953907816,0.0,Polymer front
1.0541555110220442,0.0,Polymer front
1.0581633266533066,0.0,Polymer front
1.0621711422845692,0.0,Polymer front
1.0661789579158318,0.0,Polymer front
1.0701867735470942,0.0,Polymer front
1.0741945891783569,0.0,Polymer front
1.0782024048096193,0.0,Polymer front
1.0822102204408819,0.0,Polymer front
1.0862180360721443,0.0,Polymer front
1.090225851703407,0.0,Polymer front
1.0942336673346693,0.0,Polymer front
1.098241482965932,0.0,Polymer front
1.1022492985971946,0.0,Polymer front
1.106257114228457,0.0,Polymer front
1.1102649298597196,0.0,Polymer front
1.114272745490982,0.0,Polymer front
1.1182805611222446,0.0,Polymer front
1.122288376753507,0.0,Polymer front
1.1262961923847696,0.0,Polymer front
1.1303040080160323,0.0,Polymer front
1.1343118236472947,0.0,Polymer front
1.1383196392785573,0.0,Polymer front
1.1423274549098197,0.0,Polymer front
1.1463352705410823,0.0,Polymer front
1.1503430861723447,0.0,Polymer front
1.1543509018036073,0.0,Polymer front
1.1583587174348697,0.0,Polymer front
