case,mu_water_cP,Swi,Sw_inj,Sw_shock,fw_shock,vD_shock,PVI_breakthrough,RF_at_breakthrough,RF_final,water_cut_final
waterflood,1.0,0.2,1.0,0.5576000000000001,0.7232610436679051,2.022542068422553,0.4944272930648769,0.6216797335647558,0.8128223652761047,0.9560626280656866
polymer,12.0,0.2,1.0,0.20040000000000002,8.341672225001407e-08,0.0002085418056250292,4795.201599999861,2.5048847695391077,2.5048847695391077,0.0
