Sw,fw,dfw_dSw,case
0.2,0.0,-4.996197411044276e-06,waterflood
0.20040000000000002,1.0009997484988708e-06,0.005009994939905255,waterflood
0.2008,4.00799595192404e-06,0.010032474545171212,waterflood
0.20120000000000002,9.026979384635931e-06,0.015069923134029228,waterflood
0.2016,1.606393445914721e-05,0.020122324574204934,waterflood
0.202,2.512483904399992e-05,0.025189662277055914,waterflood
0.20240000000000002,3.6215664280792514e-05,0.030271919195463536,waterflood
0.2028,4.934237440037046e-05,0.03536907782173783,waterflood
0.20320000000000002,6.451092653818274e-05,0.04048112018553203,waterflood
0.2036,8.172727054879574e-05,0.04560802785176378,waterflood
0.20400000000000001,0.00010099734881959367,0.05074978191855162,waterflood
0.2044,0.00012232709608363664,0.05590636301515661,waterflood
0.2048,0.00014572243923171882,0.06107775129993995,waterflood
0.20520000000000002,0.00017118929712359,0.06626392645832618,waterflood
0.2056,0.0001987335803983793,0.0714648677007815,waterflood
0.20600000000000002,0.000228361191284215,0.07668055376080307,waterflood
0.2064,0.00026007802340702123,0.08191096289291633,waterflood
0.2068,0.00029388996159854784,0.08715607287069033,waterflood
0.20720000000000002,0.0003298028817035755,0.09241586098475785,waterflood
0.2076,0.0003678226503863535,0.09769030404085333,waterflood
0.20800000000000002,0.00040795512493625784,0.10297937835786297,waterflood
0.2084,0.0004502061530726432,0.1082830597658836,waterflood
0.2088,0.0004945815727489644,0.11360132360429998,waterflood
0.2092,0.0005410872119560825,0.11893414471986796,waterflood
0.2096,0.0005897288885248584,0.12428149746482253,waterflood
0.21000000000000002,0.0006405124099279434,0.12964335569498775,waterflood
0.2104,0.0006934435730808478,0.13501969276790549,waterflood
0.21080000000000002,0.0007485281641422672,0.140410481540982,waterflood
0.2112,0.0008057719583136327,0.14581569436964392,waterflood
0.2116,0.0008651807196379818,0.15123530310551137,waterflood
0.21200000000000002,0.0009267602007980452,0.15666927909458273,waterflood
0.2124,0.000990516142913647,0.16211759317543994,waterflood
0.21280000000000002,0.0010564542753383965,0.16758021567746728,waterflood
0.2132,0.0011245803154556198,0.17305711641908084,waterflood
0.2136,0.0011948999684736603,0.17854826470598328,waterflood
0.21400000000000002,0.0012674189272204105,0.1840536293294266,waterflood
0.2144,0.0013421428719372006,0.1895731785644943,waterflood
0.21480000000000002,0.001419077470072005,0.1951068801684026,waterflood
0.2152,0.0014982283760719215,0.20065470137881514,waterflood
0.2156,0.0015796012311750562,0.20621660891217553,waterflood
0.21600000000000003,0.0016632016632016668,0.21179256896205656,waterflood
0.2164,0.0017490352863447003,0.2173825471975337,waterflood
0.21680000000000002,0.0018371077009596928,0.22298650876156856,waterflood
0.2172,0.001927424493353954,0.22860441826940914,waterflood
0.21760000000000002,0.002019991235575219,0.23423623980701747,waterflood
0.21800000000000003,0.0021148134851995733,0.23988193692951176,waterflood
0.2184,0.002211896785118827,0.24554147265962456,waterflood
0.21880000000000002,0.002311246663327272,0.25121480948618524,waterflood
0.2192,0.0024128686327077736,0.25690190936261326,waterflood
0.21960000000000002,0.0025167681908173614,0.2626027337054455,waterflood
0.22,0.0026229508196721285,0.26831724339286867,waterflood
0.2204,0.002731421985531655,0.27404539876328027,waterflood
